,Ordinal Tag,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,Array_0,4,4,2,2,6,3,7,6,3,4,2,6,2,2,4,1,7,0,2,2,5,11,2,3,5,1,11,1,3,4,6,7,1,1,4,7,1,1,2,3,5,5,5,11,2,3,1,3,1,5,6,3,16,20,10,5,0,2,1,5,8,17,0,12,15,4,4,0,17,3,16,12,5,10,1,9,0,15,10,7,11,10,12,3,1,7,17,2,16,5,1,11,2,0,2,2,3,10,6,5
11,Array_0,10,5,1,1,6,3,4,5,3,1,4,4,6,4,4,5,6,0,4,2,1,9,2,2,3,3,5,5,5,7,3,3,3,5,3,3,1,6,7,11,4,0,7,8,1,4,2,4,1,4,4,4,13,8,12,10,1,7,3,5,8,10,0,9,10,3,7,0,6,3,8,11,4,12,0,9,0,18,8,8,13,4,4,3,1,4,12,0,15,6,1,6,2,0,1,1,6,3,18,3
12,Array_0,9,6,5,4,2,4,7,0,1,2,3,7,2,4,10,4,4,0,4,2,5,6,7,4,7,2,8,0,5,7,3,8,4,4,6,5,3,5,5,6,2,6,10,7,1,4,2,5,4,2,3,4,14,7,13,11,1,5,5,6,13,15,0,9,13,4,14,0,11,3,14,14,6,8,0,7,0,18,9,4,9,2,8,11,1,7,9,1,6,6,0,7,1,2,0,1,1,8,18,9
13,Array_0,11,12,2,1,1,7,5,3,4,1,3,5,3,6,9,5,7,0,4,3,8,9,2,3,5,6,6,4,4,2,4,4,4,7,2,3,2,6,2,6,5,6,7,2,1,2,3,6,2,3,3,5,16,7,11,13,0,6,2,2,13,8,1,13,11,2,5,0,4,4,12,16,7,7,1,7,0,14,2,4,10,5,10,9,1,8,7,0,12,6,1,7,3,0,2,1,3,6,13,9
14,Array_0,5,6,2,2,3,5,6,1,5,2,4,4,3,6,5,1,3,0,6,7,9,6,4,6,6,4,3,5,3,11,1,1,5,5,4,5,3,2,6,11,6,3,6,7,2,1,5,8,2,5,3,2,13,13,14,9,5,4,0,2,7,9,0,16,10,6,4,0,7,5,12,9,4,6,1,7,0,16,8,1,8,4,4,5,2,5,14,1,12,10,0,5,1,1,2,2,7,4,16,6
15,Array_0,4,10,4,3,4,1,4,6,2,1,5,4,6,6,5,2,3,1,4,7,3,3,4,5,8,4,7,4,2,3,4,4,5,3,4,5,0,4,6,7,5,6,9,6,1,4,6,7,5,3,0,2,14,8,11,11,0,6,4,5,10,7,0,11,16,5,3,0,8,7,15,15,10,9,1,8,0,18,4,7,4,3,8,2,2,11,7,0,9,1,1,8,1,0,1,0,4,3,12,7
16,Array_0,6,12,3,1,2,3,1,9,0,2,1,6,3,6,9,6,3,1,9,7,5,11,6,4,9,6,8,2,7,4,2,4,2,4,2,3,2,4,1,8,3,4,3,5,0,1,3,4,5,5,6,3,16,6,11,7,1,4,2,4,4,13,0,8,15,1,9,1,9,5,16,10,7,9,0,9,1,19,12,3,6,5,10,1,0,3,7,0,16,4,0,7,6,3,1,1,2,7,15,9
17,Array_0,5,5,3,3,3,3,2,5,3,3,6,5,5,8,7,3,8,1,6,5,6,6,2,2,3,6,4,6,6,6,7,3,5,3,5,4,3,5,3,6,2,1,4,7,2,2,6,6,4,1,2,7,14,8,16,9,2,8,0,5,13,22,0,11,10,14,10,0,13,7,10,12,8,5,0,6,1,24,4,5,7,8,6,9,1,11,8,0,14,4,1,9,1,0,0,1,4,9,15,6
18,Array_0,7,13,1,4,4,3,8,3,3,1,5,2,3,4,3,6,7,1,1,4,5,9,5,6,9,2,3,2,4,2,5,2,4,3,3,3,2,2,3,12,2,2,4,5,0,5,5,6,1,6,2,1,17,9,14,9,2,5,1,4,16,7,0,8,14,6,13,0,10,5,10,14,6,10,0,13,0,12,10,6,10,6,3,10,3,10,11,0,8,3,2,3,3,0,1,0,3,4,18,8
19,Array_0,17,5,7,2,6,4,7,3,7,3,6,4,2,5,7,3,7,0,4,4,5,4,3,6,4,7,6,4,2,5,6,1,3,4,7,3,2,1,2,7,7,2,4,7,0,4,2,7,2,5,4,3,20,13,10,13,2,9,1,5,13,13,0,11,11,6,9,0,8,5,11,10,3,10,1,10,0,14,2,4,5,6,8,7,1,2,6,0,9,5,2,3,3,1,0,0,4,7,8,6
20,Array_0,5,7,3,6,8,3,2,1,3,3,1,8,10,3,4,7,3,0,3,5,8,2,8,3,7,2,7,3,3,8,6,3,1,10,4,3,2,1,2,3,2,5,5,8,0,4,4,5,1,2,7,2,17,10,12,9,1,5,3,4,12,14,0,9,18,8,9,0,10,5,7,14,12,14,0,8,0,14,9,5,9,3,6,12,4,5,16,0,6,10,1,6,5,0,0,2,5,6,9,3
21,Array_0,3,10,5,4,1,5,8,5,3,8,3,7,6,8,5,1,5,0,5,3,2,8,3,5,3,6,6,1,10,9,4,3,2,5,3,7,2,1,5,5,6,7,9,4,1,5,7,6,5,7,5,4,21,8,19,17,0,4,2,3,8,11,0,7,16,4,5,0,8,5,17,7,6,12,0,14,0,16,6,7,11,5,14,13,0,6,17,0,10,8,1,11,0,0,2,2,2,6,15,4
22,Array_0,4,10,1,1,2,5,6,7,2,3,4,4,8,4,4,3,5,0,3,2,3,8,2,3,3,2,8,4,6,6,5,4,4,2,7,3,3,2,2,6,7,3,7,6,0,2,2,6,0,1,2,2,10,8,14,15,0,6,0,4,10,18,0,10,14,8,8,1,4,0,13,16,5,11,1,15,1,16,5,5,12,5,11,7,1,8,8,0,12,8,0,12,5,0,1,2,4,2,18,6
23,Array_0,8,12,4,2,4,6,6,5,2,7,1,8,10,4,6,3,5,1,3,2,4,13,7,2,5,4,6,4,1,11,8,2,3,1,5,4,2,2,6,2,8,6,5,4,0,4,4,8,0,5,1,7,11,9,11,14,0,8,2,5,7,14,0,10,15,2,8,0,5,5,8,13,9,10,0,8,0,17,4,4,9,6,10,9,1,7,7,0,14,4,2,9,2,1,0,1,5,7,11,6
24,Array_0,8,4,3,0,4,8,3,2,4,5,5,5,4,5,8,2,3,0,3,3,4,6,6,2,4,0,4,5,4,8,4,2,5,6,2,4,3,3,1,9,3,10,4,8,0,3,8,9,0,4,4,1,23,13,3,11,1,6,0,6,9,16,1,15,9,7,3,0,7,7,9,13,8,10,0,7,0,10,7,14,6,8,6,6,3,11,7,2,8,5,0,5,5,4,0,0,4,3,19,9
25,Array_0,12,6,8,1,2,6,7,7,7,6,4,10,8,6,8,4,10,0,6,1,2,5,3,4,4,5,4,4,8,5,8,6,1,6,4,5,0,0,5,9,6,1,9,4,3,4,3,5,5,4,1,7,17,10,16,11,4,7,2,6,13,8,0,6,16,4,11,0,4,4,11,11,8,10,0,6,0,12,8,3,7,3,6,4,0,5,8,0,12,9,0,6,4,0,0,0,5,4,17,7
26,Array_0,6,7,1,3,4,2,3,7,1,1,4,1,4,3,3,5,5,0,3,6,6,7,1,2,3,3,12,3,3,3,7,1,6,3,11,9,1,3,3,5,2,2,4,8,1,4,4,3,2,1,1,6,11,10,6,10,1,2,5,5,7,11,0,11,14,7,3,2,13,2,7,8,11,6,0,10,0,14,8,3,5,4,3,4,1,5,11,0,11,10,0,8,1,1,1,0,9,4,9,10
27,Array_0,6,8,6,2,4,2,3,3,0,5,7,2,2,5,3,5,12,0,3,2,6,6,4,2,7,2,6,3,2,6,4,3,2,4,2,3,3,1,5,8,5,1,3,8,2,3,5,10,0,3,2,4,15,14,5,10,0,3,1,2,16,16,0,10,9,5,10,0,6,6,13,11,12,5,0,2,0,15,6,10,14,5,7,6,3,6,8,0,8,5,0,7,1,2,1,0,3,7,13,5
28,Array_0,4,10,4,2,2,1,7,7,4,7,2,3,11,8,12,2,3,0,1,5,7,8,6,3,6,8,7,5,3,5,7,2,3,2,5,6,1,11,5,8,3,3,6,1,0,7,3,7,0,3,1,4,17,12,14,13,0,5,3,3,10,11,0,10,17,7,7,0,13,3,15,10,8,12,1,6,1,21,6,9,11,8,7,10,1,6,11,0,14,6,1,8,1,1,1,2,6,8,13,6
29,Array_0,5,12,4,2,6,3,7,9,4,4,4,8,4,6,4,1,7,0,3,4,5,10,4,3,8,1,4,5,2,7,4,3,1,5,4,5,1,4,3,8,1,2,5,4,0,3,1,6,5,6,1,0,19,9,9,12,1,7,2,4,11,14,0,9,12,4,14,0,6,2,14,3,9,7,0,7,0,22,7,5,6,8,10,8,0,4,9,0,8,7,0,8,5,1,1,0,8,9,18,11
30,Array_0,7,4,2,3,2,4,9,9,1,4,3,3,6,4,5,1,12,0,8,7,7,4,5,1,6,4,7,2,7,10,5,4,4,1,4,6,3,3,6,2,6,6,4,3,0,8,5,7,2,2,5,5,12,11,12,4,2,5,2,2,10,16,0,10,6,6,10,0,5,4,16,13,10,10,1,11,1,20,7,5,9,4,8,8,1,5,11,0,11,3,0,8,10,2,1,1,3,5,13,10
31,Array_0,4,6,3,4,6,4,4,7,4,2,3,6,7,5,7,3,6,2,3,7,5,10,1,7,5,4,3,5,3,13,6,1,8,1,6,6,3,8,3,5,1,2,6,6,1,3,2,9,4,1,10,5,11,7,10,8,0,6,2,4,10,12,0,3,10,3,12,1,10,7,14,13,5,4,0,9,1,20,8,6,7,6,10,10,0,6,16,0,6,6,0,5,3,1,1,1,4,10,15,6
32,Array_0,5,6,3,5,2,3,6,10,3,5,5,5,6,2,2,1,4,0,4,7,6,6,4,1,6,3,1,2,4,9,7,8,3,3,12,3,5,1,4,9,4,4,7,1,0,5,4,5,1,3,4,7,12,10,12,6,0,3,3,4,9,16,0,9,12,2,8,1,13,4,9,9,7,11,0,10,0,16,4,6,13,2,6,11,1,6,12,0,12,7,0,5,2,1,0,0,9,5,18,3
33,Array_0,4,10,6,2,0,2,1,5,7,2,2,10,4,3,8,5,7,1,4,10,6,14,9,6,8,1,5,3,2,5,8,3,6,4,7,4,2,1,2,9,5,1,3,7,0,9,1,6,2,4,4,4,10,13,17,13,0,2,1,5,16,18,0,16,11,5,5,0,9,4,10,10,10,8,0,9,0,9,9,6,5,6,7,8,0,4,9,0,10,7,0,2,0,1,4,0,1,4,15,4
34,Array_0,6,8,4,3,1,2,5,7,1,2,6,4,4,4,7,5,7,0,4,5,6,4,5,4,7,5,9,2,6,7,8,2,3,0,5,4,5,4,2,8,2,4,9,8,1,5,2,11,1,2,4,3,15,14,11,11,1,6,1,3,9,7,0,7,12,2,10,0,10,3,11,16,5,7,0,11,1,13,5,6,4,1,8,4,1,2,4,0,9,7,1,9,5,1,2,2,4,6,18,4
35,Array_0,8,6,3,3,8,3,5,5,7,1,2,0,6,5,9,1,6,0,3,8,9,10,3,1,5,1,5,3,6,6,4,1,2,3,6,6,0,3,3,5,6,6,7,7,5,4,3,8,1,7,3,4,15,8,8,11,0,6,1,4,9,12,0,7,12,7,9,0,13,6,13,8,9,9,0,12,0,14,9,8,12,7,7,6,2,5,11,0,11,2,0,9,1,1,1,2,4,5,15,12
36,Array_0,3,5,4,2,5,3,8,6,3,3,2,6,6,4,6,3,8,0,7,8,6,5,3,4,10,3,3,5,2,8,5,2,8,5,5,3,3,2,6,8,5,4,3,6,0,4,1,10,2,3,2,3,12,17,9,12,1,6,1,10,14,19,0,13,10,3,7,2,10,4,7,14,8,9,0,7,1,14,5,6,8,4,7,7,1,9,9,0,11,5,0,6,5,1,1,0,5,4,7,11
37,Array_0,4,6,4,3,2,2,4,4,2,4,6,4,5,6,5,3,7,1,2,4,4,3,6,3,2,3,5,2,3,2,5,4,5,7,6,3,0,3,6,6,0,4,8,10,1,1,4,7,0,7,5,4,17,10,13,5,2,3,3,4,12,21,1,7,14,2,7,0,10,3,15,10,9,15,0,7,1,20,7,7,4,3,7,10,1,4,9,0,12,7,1,11,7,1,2,3,5,7,14,3
38,Array_0,6,7,5,2,6,6,5,4,2,3,2,10,6,3,5,0,10,0,7,6,5,5,2,3,3,4,5,1,6,5,6,3,3,6,4,2,0,3,0,7,3,7,12,9,1,4,10,7,0,4,3,8,15,9,16,7,1,5,0,6,13,19,0,12,15,6,10,0,10,2,14,14,5,10,1,5,0,14,9,6,5,5,5,7,1,10,10,0,14,11,2,4,3,1,3,1,4,9,18,7
39,Array_0,5,7,4,6,2,6,3,4,2,2,4,7,4,9,8,2,4,0,5,9,10,6,4,2,9,3,6,4,3,6,3,2,2,2,6,4,3,1,1,4,3,2,5,4,1,3,1,5,1,3,5,6,13,15,8,8,1,5,2,6,14,14,0,9,13,8,7,0,8,3,12,13,10,10,1,6,1,17,10,8,11,7,5,7,4,3,11,3,12,8,0,2,5,2,1,2,4,2,13,3
40,Array_0,7,5,5,1,2,4,4,2,7,2,5,4,2,5,8,2,3,0,8,10,4,11,1,2,6,2,9,7,2,5,8,3,6,6,2,5,6,5,3,10,1,8,4,7,1,2,4,6,3,6,4,3,18,14,13,13,0,5,3,6,11,12,0,16,14,6,13,0,17,2,14,11,8,8,0,7,0,9,6,3,8,3,4,8,4,9,11,0,6,7,1,7,3,0,0,0,2,5,11,10
41,Array_0,6,5,5,5,6,3,6,5,2,2,5,4,8,5,8,4,8,0,3,10,6,8,2,0,5,5,4,4,3,7,4,0,4,3,7,6,1,5,1,4,3,2,9,3,0,5,4,5,1,8,2,1,15,9,18,15,1,3,2,3,11,13,0,15,13,10,7,0,11,3,7,7,7,9,0,10,1,22,7,2,9,7,4,6,1,2,7,0,8,7,1,7,1,2,0,2,3,9,15,12
42,Array_0,10,7,2,1,7,1,7,2,7,2,4,8,5,12,10,5,7,1,4,4,8,7,5,5,7,2,5,3,5,7,6,2,0,5,6,1,7,2,1,6,4,4,7,7,1,6,6,5,5,7,2,6,15,7,13,7,1,7,1,5,9,11,1,7,8,5,8,0,7,3,8,13,8,5,0,13,2,17,14,5,8,3,5,11,4,8,13,1,9,6,0,7,4,2,2,1,3,8,8,7
43,Array_0,2,4,4,2,4,4,3,3,0,2,1,3,11,3,5,2,3,0,3,2,2,7,4,1,8,0,3,7,8,12,9,0,0,6,6,3,3,2,3,8,0,4,2,4,2,3,4,4,4,5,4,5,11,6,16,14,4,2,1,8,8,6,0,8,14,8,14,0,6,3,7,9,10,9,0,5,2,17,8,12,8,4,12,8,1,7,14,0,6,4,0,4,4,0,1,2,9,5,18,9
44,Array_0,7,12,1,3,4,1,6,4,3,2,4,4,4,2,5,5,7,0,5,3,2,5,2,5,7,0,11,3,6,5,3,3,3,2,3,7,0,4,4,9,5,3,3,3,2,1,2,5,3,8,3,6,9,12,12,11,0,4,2,7,14,9,0,11,15,2,6,0,3,3,13,8,3,7,0,11,0,16,6,9,7,3,7,5,3,8,13,0,3,6,1,5,3,4,4,1,1,7,23,9
45,Array_0,3,6,6,2,4,3,8,3,2,4,3,0,6,7,6,2,4,0,4,6,5,3,9,3,9,3,3,3,11,9,4,3,3,5,5,4,3,9,5,6,2,9,9,9,1,2,4,5,1,8,3,4,22,8,7,5,2,13,1,6,10,7,0,10,9,5,12,0,7,5,14,12,4,11,0,7,1,19,7,3,9,6,10,5,2,8,12,1,12,2,1,7,4,1,1,0,5,4,12,7
46,Array_0,7,8,1,2,5,4,8,3,5,1,2,11,3,5,6,1,3,1,5,6,7,4,2,3,11,3,0,1,6,7,8,1,4,5,6,1,2,2,6,5,1,4,2,9,0,3,1,6,1,7,4,10,18,6,8,9,0,2,4,5,11,10,0,13,9,7,15,0,6,4,14,13,4,11,1,10,0,16,4,6,9,5,7,9,1,4,12,0,8,9,0,6,4,1,0,3,5,3,12,7
47,Array_0,9,8,1,4,5,5,4,6,7,6,8,5,4,1,9,3,6,0,4,6,6,3,3,2,7,4,4,5,1,6,6,5,0,1,9,6,3,2,3,8,3,5,5,5,0,2,2,2,2,5,3,3,15,11,7,5,0,4,1,4,5,11,1,7,6,3,12,1,4,0,9,8,3,5,1,11,1,18,6,4,9,6,4,5,0,7,13,0,19,10,1,5,6,0,0,0,5,3,13,7
48,Array_0,3,7,5,2,3,0,5,2,3,4,6,4,1,6,8,3,7,0,5,4,5,8,3,3,7,2,6,3,3,2,6,5,8,4,6,4,2,5,0,9,3,1,9,2,1,4,4,10,0,7,2,2,12,7,7,6,2,0,3,11,7,11,0,9,14,6,8,0,4,5,16,10,7,13,1,8,1,20,7,2,8,4,3,6,2,9,7,1,11,8,2,7,2,1,0,0,5,2,15,5
49,Array_0,9,10,1,5,5,6,8,2,1,1,4,3,6,7,13,3,7,0,11,5,5,5,7,5,6,3,4,6,7,7,5,0,4,7,1,4,0,1,7,5,1,2,9,2,0,4,6,9,2,4,2,5,15,9,18,12,1,4,2,6,11,16,1,9,13,10,13,0,16,3,7,13,8,11,0,9,0,18,3,1,8,5,11,9,1,7,11,0,14,8,0,7,4,2,1,0,7,2,13,5
50,Array_0,5,5,3,3,3,9,6,1,3,0,3,5,8,11,7,2,5,0,10,5,5,6,6,3,10,4,4,7,9,6,6,3,5,3,4,7,2,3,2,10,1,5,7,3,1,7,8,4,0,4,7,5,10,15,4,15,0,6,2,2,15,12,1,8,8,1,12,0,8,4,7,13,5,8,0,1,0,19,7,0,4,8,9,4,2,3,14,0,7,7,1,7,4,2,2,0,6,5,18,5
51,Array_0,4,11,3,2,6,5,7,5,4,5,4,6,11,9,9,5,5,1,2,3,4,2,3,6,6,1,2,4,5,4,4,4,2,1,2,4,3,4,4,8,3,1,6,6,0,2,7,5,1,3,1,4,18,14,12,9,1,7,1,3,17,18,1,14,12,3,7,0,8,5,14,8,3,12,0,10,1,17,1,4,12,6,4,10,2,8,15,1,10,5,1,5,4,2,1,0,4,5,20,8
52,Array_0,1,10,2,1,12,3,4,6,3,3,5,5,10,4,5,3,5,0,5,6,5,10,4,2,9,3,7,3,2,9,6,2,1,3,7,5,0,3,1,4,3,5,5,1,2,5,5,2,4,3,4,2,16,11,16,17,0,6,0,6,11,15,2,5,17,2,12,0,3,6,8,10,8,8,1,13,0,24,9,6,6,4,4,7,2,6,17,0,8,10,0,7,0,1,1,1,6,4,18,6
53,Array_0,10,10,3,2,4,5,9,3,4,3,4,4,2,6,7,2,4,1,5,2,0,3,4,2,12,4,2,2,8,12,11,3,5,3,3,2,0,6,4,7,2,2,2,4,3,5,5,8,1,4,6,4,13,13,10,17,3,3,3,0,12,12,0,8,22,12,10,0,12,3,8,11,6,12,0,9,1,13,7,5,8,9,6,8,2,7,12,0,5,3,0,5,3,1,1,0,3,10,10,2
54,Array_0,11,9,7,3,1,2,4,4,4,3,0,5,2,5,6,2,8,0,2,7,5,8,3,6,3,6,6,4,3,7,3,0,5,2,4,2,2,5,4,7,5,2,5,10,2,6,5,4,0,10,3,2,18,12,17,6,1,6,2,2,14,9,0,8,17,5,11,0,7,3,5,10,7,7,0,9,0,13,8,10,7,5,4,5,1,5,12,1,15,7,0,6,9,2,1,0,3,7,11,4
55,Array_0,7,8,3,2,1,6,7,5,10,5,5,5,6,3,3,1,8,1,7,10,6,8,7,3,6,2,1,2,7,1,8,2,4,3,6,5,3,5,3,6,1,1,3,5,3,5,6,6,6,2,4,3,8,10,16,8,0,5,0,9,9,18,0,13,5,6,6,0,16,9,7,12,7,6,1,4,0,10,4,4,9,4,7,1,3,2,11,1,9,4,2,10,5,0,0,0,2,6,14,5
56,Array_0,7,9,5,3,4,2,8,3,2,7,2,2,8,8,4,4,5,0,1,4,4,10,5,4,5,1,7,6,4,5,8,6,6,3,6,6,0,4,0,6,4,4,5,3,4,2,5,5,4,3,2,3,13,10,12,9,1,7,2,4,9,15,0,9,14,3,10,0,8,5,12,10,5,9,0,8,0,18,8,5,12,10,9,4,1,11,6,0,16,4,0,1,8,1,0,0,2,4,22,8
57,Array_0,5,12,6,3,2,5,3,5,6,4,11,6,6,5,8,7,8,0,3,3,9,9,4,2,11,8,5,2,3,10,4,4,6,1,6,6,2,3,4,5,0,3,8,2,0,2,2,5,2,5,3,2,11,10,9,7,1,1,1,5,12,14,0,8,12,4,9,0,7,1,15,11,7,11,0,8,0,15,5,2,3,5,7,8,0,10,11,0,7,12,4,6,2,0,1,1,3,3,19,7
58,Array_0,3,10,3,2,4,5,5,5,2,2,1,6,4,7,2,3,10,0,7,3,3,16,2,2,5,3,6,0,2,6,3,4,3,4,4,3,4,6,3,11,3,5,1,5,1,8,5,5,1,3,2,5,14,10,11,7,1,3,1,2,14,16,0,6,18,8,6,0,7,1,7,9,11,6,0,9,1,18,7,3,10,5,9,6,1,3,10,0,9,3,0,10,6,3,2,0,4,3,12,5
59,Array_0,9,4,5,2,3,4,7,5,5,1,1,7,4,6,11,4,7,0,6,4,3,3,1,4,3,5,6,2,6,4,3,2,5,4,3,1,3,4,2,0,5,6,3,10,0,3,5,6,2,2,0,4,7,10,13,12,1,5,2,1,10,10,0,8,16,3,4,0,8,2,11,17,6,7,0,8,1,16,5,7,4,8,6,7,1,4,14,1,12,6,2,5,5,0,0,0,5,5,13,6
60,Array_0,2,5,0,5,3,7,4,4,3,7,6,3,5,4,4,1,10,1,1,7,6,10,1,1,4,1,5,8,4,6,5,2,2,2,5,3,3,1,6,5,4,7,6,8,3,2,4,4,2,3,3,4,16,9,13,16,0,9,2,4,6,11,0,6,23,5,8,0,10,5,6,19,6,11,0,11,1,16,8,4,5,10,5,10,1,2,7,2,12,8,1,6,3,1,1,0,3,4,11,9
61,Array_0,3,9,6,2,6,4,2,3,4,1,2,4,3,3,5,5,6,0,5,7,4,6,4,3,6,6,5,3,3,5,2,1,1,6,6,6,7,4,0,6,3,3,5,8,3,2,4,5,1,8,3,6,9,4,11,8,0,5,2,8,10,17,2,13,9,7,9,0,6,0,12,14,7,9,0,6,0,16,7,3,16,5,7,3,1,5,12,0,12,5,0,6,3,2,1,1,3,2,12,6
62,Array_0,7,5,2,3,6,4,6,2,5,1,3,4,5,4,6,2,8,0,4,7,5,11,7,1,14,3,4,3,7,9,6,3,0,2,6,3,4,1,3,7,5,8,3,3,2,5,2,7,0,2,2,6,10,7,6,6,2,2,1,2,21,15,0,15,15,4,9,1,11,4,10,12,6,14,0,5,1,22,3,6,3,6,3,11,2,9,11,0,12,6,0,9,5,0,0,0,2,6,13,6
63,Array_0,4,11,3,1,1,4,3,3,2,2,2,6,5,7,4,1,10,0,5,7,1,8,1,2,10,3,4,5,1,2,3,3,5,5,9,5,5,4,4,7,4,3,7,2,0,5,9,10,2,7,5,6,16,8,6,11,0,8,2,2,13,19,0,13,10,7,14,0,6,7,7,10,6,10,0,8,0,24,4,5,9,3,8,5,1,4,10,0,8,3,0,4,3,0,2,1,1,7,15,5
64,Array_0,6,14,2,2,3,5,4,4,4,2,5,5,8,6,5,4,4,1,6,3,4,5,1,3,11,4,9,3,5,6,5,5,4,2,4,9,1,2,6,7,4,1,3,4,2,2,4,3,1,8,1,5,13,12,13,8,1,3,5,8,13,10,0,3,7,6,8,0,10,7,7,4,5,8,1,4,0,13,8,8,7,9,10,7,1,5,11,0,7,3,0,3,5,0,0,0,4,1,14,7
